Skewness,Kurtosis,Contrast1,Contrast2,Contrast3,Contrast4,Contrast5,Contrast6,Contrast7,Contrast8,Contrast9,Contrast10,Contrast11,Contrast12,Dissimilarity1,Dissimilarity2,Dissimilarity3,Dissimilarity4,Dissimilarity5,Dissimilarity6,Dissimilarity7,Dissimilarity8,Dissimilarity9,Dissimilarity10,Dissimilarity11,Dissimilarity12,Homogeneity1,Homogeneity2,Homogeneity3,Homogeneity4,Homogeneity5,Homogeneity6,Homogeneity7,Homogeneity8,Homogeneity9,Homogeneity10,Homogeneity11,Homogeneity12,Energy1,Energy2,Energy3,Energy4,Energy5,Energy6,Energy7,Energy8,Energy9,Energy10,Energy11,Energy12,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12,Class
"1,44","0,07","5120,3261","3630,3483","5093,8346","3694,6023","4880,8889","3630,3483","4890,5492","3694,6023","6108,4091","5645,5814","6028,1535","5914,4186","20,0797","14,2367","19,9758","14,4886","19,1407","14,2367","19,1786","14,4886","23,9545","22,1395","23,6398","23,1938","0,9213","0,9442","0,9217","0,9432","0,9249","0,9442","0,9248","0,9432","0,9061","0,9132","0,9073","0,909","0,7822","0,8036","0,7821","0,803","0,7922","0,8036","0,7914","0,803","0,789","0,8033","0,7886","0,8012","0,7505","0,8149","0,7522","0,8116","0,7523","0,8149","0,7527","0,8116","0,6787","0,6847","0,6847","0,6697",c
"0,97","-1,06","6225,1116","5105,8131","6113,1865","4908,1687","6839,5198","5105,8131","6804,9419","4908,1687","9008,6719","8688,3881","8905,2326","8205,6999","24,4122","20,0228","23,9733","19,2477","26,8216","20,0228","26,686","19,2477","35,3281","34,0721","34,9225","32,1792","0,9043","0,9215","0,906","0,9245","0,8948","0,9215","0,8954","0,9245","0,8615","0,8664","0,8631","0,8738","0,7202","0,7367","0,7208","0,7384","0,7209","0,7367","0,7207","0,7384","0,7082","0,7194","0,7084","0,7232","0,7575","0,796","0,7621","0,8039","0,7276","0,796","0,7295","0,8039","0,6346","0,6356","0,6396","0,6558",c
"0,73","-1,46","6043,9904","4887,5","6322,9592","5285,9375","6385,4337","4887,5","7272,1837","5285,9375","8590,2592","8190,383","9858,0175","9186,5106","23,7019","19,1667","24,7959","20,7292","25,0409","19,1667","28,5184","20,7292","33,6873","32,1191","38,6589","36,0255","0,9071","0,9248","0,9028","0,9187","0,9018","0,9248","0,8882","0,9187","0,8679","0,874","0,8484","0,8587","0,6931","0,7085","0,6913","0,7048","0,694","0,7085","0,6871","0,7048","0,6782","0,6883","0,6687","0,6798","0,7865","0,8246","0,7761","0,8103","0,7715","0,8246","0,739","0,8103","0,6894","0,6974","0,6426","0,6608",c
"0,33","-1,89","6066,162","5491,2416","6561,1772","5708,7166","7161,7021","5491,2416","7933,8679","5708,7166","9712,2447","9321,6667","10818,9108","10001,6667","23,7889","21,5343","25,7301","22,3871","28,0851","21,5343","31,1132","22,3871","38,0872","36,5556","42,4271","39,2222","0,9067","0,9156","0,8991","0,9122","0,8899","0,9156","0,878","0,9122","0,8506","0,8566","0,8336","0,8462","0,6566","0,6645","0,6522","0,6624","0,648","0,6645","0,6412","0,6624","0,6264","0,633","0,6172","0,6272","0,8073","0,8245","0,7915","0,8175","0,7716","0,8245","0,7467","0,8175","0,6892","0,6991","0,6536","0,6772",c
"0,29","-1,91","6427,5598","5919,3954","6981,3886","5860,4959","7476,8447","5919,3954","8345,6122","5860,4959","10045,4903","10360,9574","11249,6869","10299,4681","25,2061","23,2133","27,378","22,9823","29,321","23,2133","32,7279","22,9823","39,3941","40,6312","44,1164","40,3901","0,9012","0,909","0,8926","0,9099","0,885","0,909","0,8717","0,9099","0,8455","0,8407","0,827","0,8416","0,6508","0,658","0,646","0,6585","0,6425","0,658","0,6352","0,6585","0,6207","0,6216","0,6113","0,6221","0,7972","0,812","0,7795","0,8139","0,7631","0,812","0,7352","0,8139","0,6809","0,6678","0,642","0,6698",c
"1,22","-0,52","5365,8607","4099,0816","5462,1","4040,102","5271,5014","4099,0816","5261,1136","4040,102","6406,2558","6373,1889","6744,4535","6250,0355","21,0426","16,0748","21,42","15,8435","20,6726","16,0748","20,6318","15,8435","25,1226","24,9929","26,4488","24,5099","0,9175","0,937","0,916","0,9379","0,9189","0,937","0,9191","0,9379","0,9015","0,902","0,8963","0,9039","0,7568","0,777","0,7561","0,7775","0,7652","0,777","0,7655","0,7775","0,7621","0,7743","0,7599","0,7753","0,7653","0,8131","0,7609","0,8158","0,7616","0,8131","0,7618","0,8158","0,7019","0,6859","0,6853","0,6919",c
"0,76","-1,42","6444,5216","4862,1069","6045,2058","4816,6667","6702,4371","4862,1069","6047,7797","4816,6667","8544,9519","7762,4184","7881,8182","8139,922","25,2726","19,0671","23,7067","18,8889","26,2841","19,0671","23,7168","18,8889","33,5096","30,4409","30,9091","31,9213","0,9009","0,9252","0,907","0,9259","0,8969","0,9252","0,907","0,9259","0,8686","0,8806","0,8788","0,8748","0,693","0,7115","0,6963","0,712","0,6945","0,7115","0,6997","0,712","0,6819","0,6937","0,6868","0,6905","0,7698","0,8239","0,7842","0,8255","0,7576","0,8239","0,7817","0,8255","0,6878","0,7114","0,7127","0,6974",c
"0,61","-1,63","6328,8253","5413,7373","6272,7921","5293,432","7338,6216","5413,7373","7285,2083","5293,432","9807,5532","9423,913","9821,4844","9298,2609","24,8189","21,2303","24,5992","20,7586","28,7789","21,2303","28,5694","20,7586","38,461","36,9565","38,5156","36,4638","0,9027","0,9167","0,9035","0,9186","0,8871","0,9167","0,888","0,9186","0,8492","0,8551","0,849","0,857","0,6785","0,6909","0,6787","0,692","0,6728","0,6909","0,6729","0,692","0,6542","0,6628","0,6536","0,6638","0,7846","0,8135","0,7867","0,8176","0,7477","0,8135","0,7498","0,8176","0,6603","0,6682","0,6603","0,6726",c
"0,86","-1,26","6155,7","4718,3673","5913,9862","5308,1633","7004,9659","4718,3673","6626,1889","5308,1633","9526,9186","7881,8182","8872,5139","9113,3523","24,14","18,5034","23,1921","20,8163","27,4705","18,5034","25,9851","20,8163","37,3605","30,9091","34,7942","35,7386","0,9053","0,9274","0,9091","0,9184","0,8923","0,9274","0,8981","0,9184","0,8535","0,8788","0,8636","0,8599","0,7078","0,7267","0,7097","0,7214","0,7055","0,7267","0,7085","0,7214","0,6888","0,7101","0,6935","0,7002","0,7709","0,8207","0,7801","0,7983","0,7348","0,8207","0,7493","0,7983","0,6342","0,6886","0,6599","0,6399",c
"0,21","-1,95","6516,6667","5259,8","6163,2391","5722,2","7794,8864","5259,8","7241,0271","5722,2","10644,7674","9349,6058","9954,0082","10375,0464","25,5556","20,6267","24,1696","22,44","30,5682","20,6267","28,3962","22,44","41,7442","36,6651","39,0353","40,6865","0,8998","0,9191","0,9052","0,912","0,8801","0,9191","0,8886","0,912","0,8363","0,8562","0,8469","0,8404","0,6456","0,6588","0,6489","0,6543","0,6343","0,6588","0,6395","0,6543","0,6094","0,6223","0,6156","0,6134","0,7967","0,8355","0,8078","0,821","0,7564","0,8355","0,7737","0,821","0,6671","0,7064","0,6885","0,6742",c
